"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1847858744509813053","Sun Oct 20 16:32:33 +0000 2024","1","@kurawa Idealnya sih presiden itu dari militer saja Soal ekonomi hukum pendidikan dll serahkn kpd ahlinya(menteri)","1848039613195227231","","kurawa","in","","0","0","0","https://x.com/haris_mussa/status/1848039613195227231","1262399662654251009","haris_mussa"
"1848039582983741665","Sun Oct 20 16:32:26 +0000 2024","0","dari tahun 2008 mendirikan partai gerindra pasang surut dinamikanya dari mulai jadi cawpres bersama megawati. Lalu jadi capres 2014 dan maju lagi jadi capres 2019 lalu maju lagi jadi capres 2024 akhirnya pak prabowo bisa sah jadi presiden Butuh waktu 2008 sampai 2024 16thn ","1848039582983741665","","","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/Twtsalma/status/1848039582983741665","1125242943822974976","Twtsalma"
"1848039485499748809","Sun Oct 20 16:32:02 +0000 2024","0","bobby kucingnya pak presiden lucu bgt awokwkwowkwo","1848039485499748809","","","in","","0","0","0","https://x.com/stuckedby_/status/1848039485499748809","1499689185510555648","stuckedby_"
"1848039485491265740","Sun Oct 20 16:32:02 +0000 2024","0","Pidato presiden pake prompter ga si.. tapi kan dihadapan byk tamu.. (emg keliatan tulisan?) masa nyebutin puluhan nama orang beserta gelarnya tanpa baca aneh","1848039485491265740","","","in","","0","0","0","https://x.com/Ninendia/status/1848039485491265740","185140576","Ninendia"
"1848039470572200084","Sun Oct 20 16:31:59 +0000 2024","0","Sudah mulai sindir² bapakna wapres #FufufafaAdalahGibran presiden sebelumnya .. #fufufafabocilpsikopat","1848039470572200084","","","in","","0","0","0","https://x.com/alfatih212426/status/1848039470572200084","1667213278240706560","alfatih212426"
"1848039468302991705","Sun Oct 20 16:31:58 +0000 2024","2","Jadi kalo guru gk boleh gitu ngucapin selamat atas presiden baru??? Kocak nih anak abah @inumakiyi https://t.co/HunMRUCr1Q","1848039468302991705","https://pbs.twimg.com/media/GaWOGL1bwAAOUPw.jpg","","in","","0","0","0","https://x.com/Rdavis_caniago/status/1848039468302991705","702264404","Rdavis_caniago"
"1848024878521401777","Sun Oct 20 16:31:56 +0000 2024","0","@Yougezt Update presiden terpilih masih masuk ya","1848039459314630950","","Yougezt","in","Semarang, Jawa Tengah","0","0","0","https://x.com/LingSoeKong/status/1848039459314630950","166886949","LingSoeKong"
"1848039442617164167","Sun Oct 20 16:31:52 +0000 2024","0","Prabowo Gunakan 'Maung' Pindad sebagai Mobil Kepresidenan Menuju Istana dari Komplek Parlemen https://t.co/MZJ6Sup0fR #prabowo #presiden","1848039442617164167","","","in","Jakarta","0","0","0","https://x.com/_independen/status/1848039442617164167","1195635571189673985","_independen"
"1848039440205455642","Sun Oct 20 16:31:52 +0000 2024","0","Menteri yg diumumkan pak presiden Prabowo Nggk ada yg istimewa karena semua hasil titipan Mulyono.","1848039440205455642","","","in","Sumatera Utara, Indonesia","0","0","0","https://x.com/Abdulrahim1205/status/1848039440205455642","1789694813908135937","Abdulrahim1205"
"1848039423033913772","Sun Oct 20 16:31:48 +0000 2024","0","Tidak apa² dia di olok oleh parah elite Kami rakyat kecil ini akan membawa @gibran_tweet menjadi Presiden ke 9 Republik ini Dan suara huuu itu akan berubah menjadi tepuk tangan banyak topeng yang akan menjilati ludahnya sendiri.","1848039423033913772","","","in","Maumere","0","0","0","https://x.com/EnoKeytimu29817/status/1848039423033913772","1658514325194285056","EnoKeytimu29817"
"1847851844292530484","Sun Oct 20 16:31:40 +0000 2024","0","@The_RedsIndo Mungkin Pak Prabowo sudah menyiapkan pidato ini 10 tahun lalu karena Pak Jokowi baru juga 2 tahun di Jakarta lgsg diajak nyapres yah kagetlah ditambah memang Pak Jokowi gaya komunikasi untuk dilevel Presiden yah kurang banget !!","1848039389647278264","","The_RedsIndo","in","West Jekardah","0","0","0","https://x.com/Oumhen88/status/1848039389647278264","1203737004","Oumhen88"
"1848039364368253372","Sun Oct 20 16:31:34 +0000 2024","0","Komandan Lanud Adi Soemarmo Marsma TNI Bambang Juniar Djatmiko S.Sos. M.M. menyambut kedatangan mantan Presiden RI ke-7 Ir. Joko Widodo di VIP Room Lanud Adi Soemarmo Minggu (20/10/2024). https://t.co/HUV7iYK19m","1848039364368253372","https://pbs.twimg.com/media/GaWOAVeasAA49hx.jpg","","in","Jawa Tengah, Indonesia","0","0","0","https://x.com/lanud_smo/status/1848039364368253372","1224875259611906049","lanud_smo"
"1848039350615068856","Sun Oct 20 16:31:30 +0000 2024","0","Selamat buat pak @prabowo atas pelantikan sebagai Presiden Indonesia 2024-2029 semoga bisa menjadi pemimpin yang amanah yang mampu membawa Indonesia menjadi negara kuat baik secara ekonomi maupun militer.","1848039350615068856","","","in","Indonesia","0","1","0","https://x.com/tatamatude/status/1848039350615068856","1317049135388782592","tatamatude"
"1848039339567317152","Sun Oct 20 16:31:28 +0000 2024","0","Pelantikan presiden kali ini serem juga ya efek nya bisa buat orang jadi delusional WKWKWKW","1848039339567317152","","","in","Ayudisa Bestari.","0","0","0","https://x.com/veossel/status/1848039339567317152","4835285448","veossel"
"1848039333170917782","Sun Oct 20 16:31:26 +0000 2024","1","jam rawan galau","1848039333170917782","","","in","Jawa Tengah, Indonesia","0","0","0","https://x.com/pgnberantem/status/1848039333170917782","1131163389802078208","pgnberantem"
"1847924758580715866","Sun Oct 20 16:31:24 +0000 2024","1","@coppamagz Pak presiden: Baru reunian sama mantan isteri nih masa udah dipanggil pulang https://t.co/hlmISeva8l","1848039324581089345","https://pbs.twimg.com/media/GaWN9-EagAA2Qzm.jpg","coppamagz","in","Manchester, England","0","0","0","https://x.com/aathenaxoxo/status/1848039324581089345","1158730886164074496","aathenaxoxo"
"1847968768472863001","Sun Oct 20 16:29:37 +0000 2024","1","@ommi_siregar Dgn Wapres Fufufafa Konoha bkn bangsa yg besar tetapi besar BangsaT nya. Apa dosa2 kta smua ya hingga mendapatkan anugrah Fufufafa &amp; Mulyono Mudah2an Presiden Prabowo panjang umur &amp; selalu di lindungi Allah dr niat tersembunyi Fufufafa &amp; Bago (Bani Gorong2)nya. @prabowo","1848038874997821667","","ommi_siregar","in","Di hatimu","0","0","0","https://x.com/jakardoding/status/1848038874997821667","1784988372790075395","jakardoding"
"1848038872779047240","Sun Oct 20 16:29:36 +0000 2024","1","Presiden Prabowo Subianto Umumkan Kabinet Merah Putih untuk Periode 2024-2029 https://t.co/hgZuJaWOAT","1848038872779047240","","","in","","0","0","0","https://x.com/Alonesiacom/status/1848038872779047240","1442722911475814408","Alonesiacom"
"1848038868450508900","Sun Oct 20 16:29:35 +0000 2024","0","Resmi Dilantik Jadi Presiden dan Wakil Presiden Ini Nama-nama Menteri Prabowo-Gibran Kabinet Merah Putih https://t.co/CS4zYmGgI3","1848038868450508900","","","in","","0","0","0","https://x.com/OnlineJamb87336/status/1848038868450508900","1701853261597495296","OnlineJamb87336"
"1848024890236092548","Sun Oct 20 16:29:28 +0000 2024","2","@BosPurwa Pratikno jaga ijazah budi ari jaga fufufafa. Tegas dr mana pak PS dahlah bsk presiden naturalisasi saja masih ada campur tangan mulyono","1848038837014180101","","BosPurwa","in","","0","0","0","https://x.com/huhuhahaa48/status/1848038837014180101","1681662668770353153","huhuhahaa48"
"1848013263063425362","Sun Oct 20 16:29:23 +0000 2024","0","@idextratime Bobby kertanegara di mana? Majikan presiden loh dia","1848038817598497135","","idextratime","in","Milchstraße","0","0","0","https://x.com/ItsDauphinite/status/1848038817598497135","1171012051361095681","ItsDauphinite"
"1848038796287529318","Sun Oct 20 16:29:18 +0000 2024","0","Masih ga percaya udah masup kepemimpinan presiden prabowo ","1848038796287529318","","","in","","0","0","0","https://x.com/greenthelwald/status/1848038796287529318","752774798736896000","greenthelwald"
"1848038781791957098","Sun Oct 20 16:29:15 +0000 2024","0","Perasaan ngeliat wakil presiden terpilih dari pagi ko mukanya ga happy dan tertekan sih? Apa udh mulai serius mikirin kerjaan dengan jabatan yg baru nya ya..","1848038781791957098","","","in","","0","0","0","https://x.com/serenatajiwaaa/status/1848038781791957098","1254342188508434432","serenatajiwaaa"
"1848038773973741595","Sun Oct 20 16:29:13 +0000 2024","1","Presiden Prabowo Umumkan 48 Menteri di Kabinet Merah Putih https://t.co/aHqYN41Jmf #indoposco #KabinetMerahPutih #KabinetPrabowoGibran #menteri #PresidenPrabowo","1848038773973741595","","","in","DKI Jakarta","0","0","0","https://x.com/indoposco/status/1848038773973741595","1349713962472861696","indoposco"
"1847882340816867791","Sun Oct 20 16:29:11 +0000 2024","0","@XXIII_I_I @RJLetsGo Sebenarnya ngga cari-cari kejelakanya. Tapi emang yg kami temui seperti itu. Hal ini kamu bisa baca di banyak lembaga riset misalnya ICW Transparency International Greenpace PSHK jatam dll. Gimana kinerja Presiden ke 7.","1848038765333491908","","XXIII_I_I","in","","0","0","0","https://x.com/sisalted/status/1848038765333491908","1436243534261096452","sisalted"
"1848038751966212206","Sun Oct 20 16:29:08 +0000 2024","0","gue kalo jadi presiden mustahil.","1848038751966212206","","","in","awan mendung","0","0","0","https://x.com/butterfoams/status/1848038751966212206","1792144095995125761","butterfoams"
"1847952480543641742","Sun Oct 20 16:28:52 +0000 2024","1","@RisaHart Udah hal biasa sih setiap peralihan presiden ada yang maki2 dan sanjung presiden sebelumnya kalo gue lihat gelombang hina presiden ga akan kenceng di era prabowo karena dari beliau dari kawasan militer.","1848038685213856131","","RisaHart","in","Jakarta Pusat, DKI Jakarta","0","0","0","https://x.com/max48976060/status/1848038685213856131","1566790710229012481","max48976060"
"1848038679471681706","Sun Oct 20 16:28:50 +0000 2024","0","Kalau gus dur dl jadi presiden modal dengkulna amin rais kalau jokowi jd presiden modal dengkulnya megawati. Lucu juga politik di negeri konoha.","1848038679471681706","","","in","","0","0","0","https://x.com/uaswahan89/status/1848038679471681706","1656499880515506178","uaswahan89"
"1847851723882451301","Sun Oct 20 16:28:50 +0000 2024","0","@madarkham gapapa prabowo aja kalah berkali2 dulu baru jd presiden (itupun dibantu )","1848038677693505540","","madarkham","in","","0","0","0","https://x.com/satanleftovers/status/1848038677693505540","1827824376038998016","satanleftovers"
"1848038658953396484","Sun Oct 20 16:28:45 +0000 2024","0","Izin bonding besok hari ini Chokun agak sibuk karna dilantik jadi presiden. Good night all selamat bobo","1848038658953396484","","","in","AM-08, 2005","0","1","0","https://x.com/CHOKUNngekos/status/1848038658953396484","1806963604094439424","CHOKUNngekos"
"1848019435803803716","Sun Oct 20 16:28:38 +0000 2024","0","@suchduchie GAISSS KITA UDAH GANTI PRESIDEN DAN WAKIL NYA HARI INI","1848038627231887473","","suchduchie","in","Tangerang, Indonesia","0","0","0","https://x.com/bundanyawoopy_/status/1848038627231887473","1430534638397648902","bundanyawoopy_"
"1848038619828871642","Sun Oct 20 16:28:36 +0000 2024","0","max ajalah yg presiden indonesia lantik besok y","1848038619828871642","","","in","","0","0","0","https://x.com/bobamilkyytea/status/1848038619828871642","1284855410952794112","bobamilkyytea"
"1847889788067860571","Sun Oct 20 16:28:34 +0000 2024","0","@Intel_Imut Adili presiden sebelumnya","1848038613117960391","","Intel_Imut","in","Buitenzorg ","0","0","0","https://x.com/rt04rw10/status/1848038613117960391","1619719226444640257","rt04rw10"
"1848038606373625982","Sun Oct 20 16:28:33 +0000 2024","0","abang gue boong gasi bangke tugas pas pelantikan presiden begitu","1848038606373625982","","","in","","0","1","0","https://x.com/canntiku/status/1848038606373625982","1733061016198823936","canntiku"
"1848038567983091912","Sun Oct 20 16:28:24 +0000 2024","0","udah ga ada lagi presiden yang bakal blusukan dari sabang sampai merauke.. https://t.co/Jh0rq4OE1k","1848038567983091912","https://pbs.twimg.com/ext_tw_video_thumb/1848038385434439680/pu/img/qLZOT6YwjghB9Tm5.jpg","","in","","0","0","0","https://x.com/txtKUROKI/status/1848038567983091912","247956768","txtKUROKI"
"1848038559825211804","Sun Oct 20 16:28:22 +0000 2024","2","gue mau sm halo dek kalo lakinya pinter cari jabatan kyk doski dong kenalin please. bayangin jd Seskab umur 35? Panglima aja kl mau ketemu Presiden ijin dulu sm Seskab. sedangkan temen seangkatannya masih jd Danramil or ikut Sesko","1848038559825211804","","","in","","0","0","0","https://x.com/jenniepasming/status/1848038559825211804","78047541","jenniepasming"
"1847612407130329440","Sun Oct 20 16:28:21 +0000 2024","0","@DokterTifa Bu mbok didoakan bisa membantu pak presiden membawa Indonesia menjadi lebih baik.","1848038556293529816","","DokterTifa","in","Unknown","0","0","0","https://x.com/baladewa1982/status/1848038556293529816","1503198889314177025","baladewa1982"
"1848025903210823966","Sun Oct 20 16:28:19 +0000 2024","0","@abu_mahdzuroh semoga menjadi pertimbangan Pak Presiden @prabowo","1848038550417420582","","abu_mahdzuroh","in","Русско-Полянский район, Омская","0","0","0","https://x.com/RezhaChaniago/status/1848038550417420582","182304960","RezhaChaniago"
"1847944757722693650","Sun Oct 20 16:28:18 +0000 2024","0","@tham878 keinget waktu dia blusukan 2014.. Kalo presiden kedepan kurang merakyat.. alias gacocok begini begini..","1848038542397853875","","tham878","in","Yogyakarta, Indonesia","0","0","0","https://x.com/onni_saputra994/status/1848038542397853875","743369009437904896","onni_saputra994"
"1848038533677851108","Sun Oct 20 16:28:15 +0000 2024","2","Presiden RI Prabowo Subianto umumkan 7 nama menteri koordinator yang dinamai Kabinet Merah Putih di Istana Merdeka Jakarta pada Minggu 20 Oktober 2024. #PelantikanPresiden2024 #PelantikanPrabowoGibran #KawalPrabowoGibran https://t.co/LWZg4DaTos","1848038533677851108","https://pbs.twimg.com/amplify_video_thumb/1848038406531719168/img/9qRSucsZG_ue-KQy.jpg","","in","Indonesia","0","0","0","https://x.com/KompasTV/status/1848038533677851108","71436318","KompasTV"
